iter	RMSE
0	2.335746175
1	2.312508543
2	2.291414178
3	2.272524996
4	2.2550607
5	2.238753727
6	2.223497063
7	2.208845324
8	2.195549969
9	2.182922956
10	2.171198137
11	2.160188737
12	2.150073268
13	2.140372764
14	2.131386933
15	2.122103188
16	2.113371707
17	2.10494178
18	2.097003257
19	2.089620192
20	2.082669254
21	2.076007624
22	2.069694335
23	2.063641831
24	2.056965524
25	2.050972406
26	2.045771929
27	2.040189306
28	2.034975936
29	2.029485982
30	2.024761097
31	2.020430688
32	2.015649072
33	2.011208535
34	2.007222455
35	2.002946373
36	1.999039602
37	1.995117253
38	1.991403478
39	1.98802639
40	1.984396852
41	1.981130921
42	1.977766634
43	1.97417335
44	1.971079176
45	1.967783614
46	1.964820732
47	1.962161776
48	1.959322161
49	1.956545252
50	1.954025599
51	1.951637131
52	1.94923325
53	1.947023883
54	1.94471677
55	1.942475281
56	1.940282087
57	1.938177474
58	1.936131535
59	1.933953561
60	1.932005881
61	1.929992952
62	1.928248374
63	1.926432358
64	1.924729061
65	1.92283745
66	1.921247923
67	1.919710776
68	1.918099501
69	1.916603987
70	1.915098403
71	1.913679545
72	1.912187996
73	1.910877859
74	1.909564607
75	1.90820641
76	1.907116129
77	1.905857688
78	1.904589755
79	1.903425373
80	1.902397356
81	1.901480397
82	1.900272266
83	1.899240186
84	1.898199569
85	1.897159109
86	1.896246236
87	1.895355885
88	1.894397271
89	1.893578613
90	1.892833865
91	1.891959722
92	1.891172067
93	1.890431125
94	1.889814587
95	1.889100427
96	1.888438456
97	1.887713296
98	1.887036905
99	1.885912816
100	1.885235115
101	1.884508804
102	1.883748941
103	1.883166578
104	1.882562781
105	1.882093727
106	1.881425132
107	1.880806571
108	1.880279056
109	1.879675558
110	1.878628927
111	1.878073919
112	1.877500231
113	1.876930947
114	1.876401127
115	1.875979252
116	1.875523673
117	1.874996768
118	1.874602213
119	1.874179254
120	1.873820892
121	1.87339774
122	1.873041975
123	1.872484495
124	1.872002543
125	1.871578197
126	1.871162598
127	1.87075672
128	1.870403173
129	1.869915076
130	1.869414423
131	1.869206285
132	1.868841068
133	1.868471381
134	1.867988148
135	1.867646112
136	1.86734914
137	1.867097524
138	1.8668049
139	1.866387685
140	1.866038797
141	1.86567404
142	1.865303511
143	1.864689876
144	1.86447778
145	1.864194744
146	1.863868112
147	1.863652341
148	1.863409489
149	1.86314893
150	1.862938376
151	1.862647929
152	1.862385227
153	1.86207602
154	1.861861959
155	1.861338831
156	1.861052501
157	1.860887437
158	1.860492197
159	1.860250087
160	1.859729286
161	1.859442189
162	1.859167814
163	1.858857644
164	1.858602683
165	1.858244157
166	1.85806304
167	1.857826094
168	1.857534544
169	1.857295572
170	1.857094655
171	1.856927428
172	1.856651514
173	1.856293267
174	1.85610223
175	1.85593043
176	1.855798845
177	1.855530957
178	1.855300603
179	1.85513886
180	1.854970405
181	1.85467223
182	1.854336433
183	1.854122253
184	1.853903909
185	1.853755849
186	1.853579311
187	1.853382974
188	1.853148213
189	1.852725048
190	1.852518765
191	1.85234029
192	1.852223506
193	1.852118855
194	1.851938371
195	1.851743353
196	1.851620119
197	1.851495414
198	1.851315239
199	1.851115966
200	1.850998063
201	1.850792183
202	1.850617026
203	1.8500436
204	1.849890369
205	1.849736028
206	1.849534959
207	1.849207567
208	1.849036184
209	1.848927854
210	1.848785203
211	1.848648738
212	1.848489476
213	1.848311933
214	1.848209384
215	1.848042561
216	1.84791124
217	1.847767159
218	1.847600282
219	1.847482524
220	1.847270674
221	1.847110611
222	1.846888676
223	1.846840458
224	1.846641161
225	1.846554511
226	1.846385887
227	1.846207343
228	1.846065598
229	1.84586873
230	1.845745667
231	1.845624274
232	1.845449279
233	1.845296432
234	1.845160104
235	1.844993655
236	1.844571227
237	1.844410099
238	1.844284143
239	1.844080252
240	1.843932851
241	1.843819549
242	1.843496007
243	1.843401192
244	1.843389849
245	1.843155955
246	1.842961532
247	1.842734078
248	1.84257073
249	1.842460969
250	1.842265143
251	1.842158528
252	1.842067624
253	1.841970635
254	1.841832259
255	1.841642617
256	1.841489513
257	1.841415824
258	1.841249952
259	1.841126233
260	1.840978033
261	1.840710646
262	1.840580375
263	1.84044456
264	1.840345606
265	1.840334998
266	1.840221277
267	1.840048269
268	1.839995879
269	1.839951296
270	1.839852942
271	1.839842926
272	1.839678458
273	1.839642202
274	1.8395305
275	1.839360037
276	1.839238703
277	1.839112154
278	1.839097924
279	1.838956623
280	1.838902935
281	1.838761981
282	1.838659393
283	1.838465325
284	1.838368967
285	1.838222443
286	1.838172165
287	1.838066631
288	1.838053909
289	1.837929842
290	1.837754417
291	1.837602829
292	1.837422205
293	1.837276656
294	1.837149085
295	1.836804995
296	1.836752638
297	1.836637476
298	1.83650543
299	1.836497179
300	1.836406347
301	1.836280372
302	1.836159473
303	1.836147673
304	1.836069381
305	1.835954341
306	1.835792158
307	1.835678989
308	1.835550633
309	1.835542608
310	1.835358315
311	1.83521936
312	1.835094428
313	1.834970235
314	1.834830625
315	1.834766101
316	1.834602481
317	1.834492553
318	1.834486244
319	1.834480634
320	1.83447403
321	1.834325871
322	1.834014187
323	1.83390386
324	1.833764383
325	1.833643539
326	1.8336333
327	1.833491142
328	1.833489219
329	1.833364185
330	1.833268339
331	1.833258536
332	1.833249383
333	1.833147497
334	1.833020156
335	1.833012816
336	1.832914078
337	1.832843504
338	1.832724025
339	1.832594558
340	1.832528293
341	1.832313028
342	1.83219044
343	1.832185438
344	1.83217909
345	1.832056098
346	1.832054138
347	1.831945422
348	1.831838141
349	1.831707074
350	1.831702456
351	1.831581174
352	1.831511773
353	1.831435203
354	1.831433127
355	1.83130437
356	1.831192504
357	1.83102892
358	1.830935695
359	1.830825702
360	1.830688309
361	1.830518109
362	1.830392416
363	1.830390441
364	1.830247436
365	1.830240465
366	1.830132815
367	1.829996257
368	1.829966468
369	1.829819511
370	1.829703634
371	1.829586494
372	1.829463229
373	1.829335406
374	1.829220382
375	1.829218355
376	1.829205961
377	1.829072833
378	1.828944026
379	1.828935406
380	1.828868491
381	1.828719463
382	1.828600829
383	1.828480515
384	1.828412152
385	1.828298744
386	1.828202228
387	1.828071941
388	1.827940141
389	1.827674362
390	1.827598967
391	1.82750771
392	1.827395043
393	1.827270183
394	1.827162525
395	1.826944311
396	1.826803093
397	1.826800996
398	1.826709415
399	1.826600308
400	1.826477998
401	1.826396263
402	1.826245952
403	1.826127928
404	1.826123215
405	1.825940448
406	1.825922514
407	1.825814173
408	1.825730948
409	1.825728399
410	1.825649658
411	1.825603391
412	1.825511966
413	1.825362628
414	1.825240173
415	1.825150196
416	1.825109139
417	1.824949302
418	1.824834137
419	1.824760091
420	1.824612461
421	1.824492294
422	1.824490038
423	1.824483354
424	1.824437389
425	1.824318612
426	1.824202386
427	1.824113852
428	1.82387198
429	1.823793702
430	1.823711774
431	1.823625675
432	1.823486404
433	1.823373785
434	1.82331098
435	1.823229413
436	1.82313642
437	1.823103206
438	1.823100426
439	1.823034702
440	1.82303112
441	1.822951955
442	1.822949656
443	1.822731357
444	1.822646633
445	1.822625641
446	1.822544937
447	1.82253954
448	1.822421319
449	1.822331673
450	1.822325617
451	1.822145848
452	1.822067273
453	1.821949322
454	1.821895641
455	1.821784681
456	1.821659794
457	1.821565003
458	1.821503043
459	1.821389948
460	1.821325233
461	1.821216746
462	1.8210627
463	1.820981226
464	1.820971618
465	1.820893522
466	1.820819076
467	1.820683736
468	1.820548385
469	1.820407843
470	1.820316287
471	1.820204254
472	1.820126404
473	1.819998801
474	1.819946397
475	1.819940255
476	1.819938171
477	1.819823958
478	1.819707012
479	1.819705557
480	1.819611929
481	1.819500514
482	1.819497198
483	1.819494669
484	1.819382689
485	1.819237653
486	1.819119511
487	1.819011944
488	1.818909687
489	1.818818744
490	1.818727102
491	1.818616818
492	1.818471164
493	1.818374418
494	1.818269192
495	1.818266843
496	1.81815346
497	1.818078214
498	1.817916098
499	1.817914491
500	1.817912062
501	1.81770602
502	1.817612065
503	1.817537212
504	1.817515937
505	1.817437583
506	1.817358358
507	1.81723415
508	1.817103835
509	1.81710201
510	1.81696812
511	1.816917279
512	1.816815548
513	1.816704267
514	1.816702706
515	1.816620302
516	1.81650417
517	1.816370725
518	1.816281993
519	1.8161889
520	1.816063541
521	1.815919679
522	1.815851263
523	1.815742145
524	1.8156471
525	1.815591947
526	1.81557666
527	1.815446802
528	1.815338297
529	1.815250215
530	1.815143603
531	1.815037774
532	1.814951184
533	1.814861765
534	1.814763696
535	1.814660404
536	1.814587651
537	1.814459673
538	1.814328972
539	1.814219984
540	1.814099779
541	1.813991039
542	1.813882607
543	1.81388095
544	1.813813808
545	1.813720597
546	1.813585723
547	1.81351296
548	1.813385106
549	1.813247495
550	1.813147546
551	1.813046681
552	1.812936241
553	1.812805902
554	1.81272056
555	1.812579734
556	1.812577826
557	1.812485703
558	1.812468866
559	1.812350362
560	1.812265032
561	1.812144285
562	1.812042796
563	1.81193884
564	1.811852639
565	1.811732268
566	1.811691119
567	1.811563636
568	1.811433542
569	1.811345002
570	1.811234104
571	1.811127151
572	1.811044327
573	1.810966288
574	1.810848583
575	1.810737978
576	1.810603625
577	1.810513314
578	1.810450732
579	1.810357235
580	1.810262389
581	1.810147762
582	1.810063899
583	1.81003049
584	1.809966965
585	1.809845622
586	1.809842886
587	1.809780675
588	1.809644868
589	1.809642314
590	1.809504882
591	1.809450161
592	1.80936237
593	1.809289621
594	1.809198923
595	1.809157382
596	1.809096991
597	1.809009006
598	1.808907239
599	1.808846907
600	1.808804096
601	1.808622041
602	1.808505008
603	1.80841881
604	1.808290525
605	1.808173957
606	1.808056369
607	1.807963649
608	1.807860983
609	1.807803051
610	1.8076911
611	1.807618983
612	1.807479666
613	1.807389639
614	1.807298924
615	1.807196285
616	1.807091737
617	1.806987627
618	1.806923944
619	1.806871737
620	1.80679466
621	1.806730793
622	1.806621279
623	1.80661854
624	1.806526949
625	1.806524861
626	1.806420163
627	1.806286302
628	1.806221204
629	1.806183935
630	1.806080655
631	1.805979231
632	1.805898028
633	1.805884146
634	1.80579634
635	1.805693601
636	1.805569132
637	1.805485901
638	1.805422436
639	1.805327702
640	1.80523538
641	1.805115343
642	1.805102593
643	1.804990187
644	1.804897673
645	1.804802138
646	1.804731282
647	1.804562618
648	1.804465509
649	1.80437808
650	1.804258027
651	1.804185419
652	1.804184584
653	1.804079802
654	1.804024299
655	1.803966827
656	1.803905174
657	1.803827793
658	1.803742771
659	1.803662924
660	1.803564015
661	1.80341448
662	1.803413664
663	1.80332583
664	1.803230233
665	1.803222869
666	1.803138584
667	1.802998918
668	1.802925155
669	1.802840018
670	1.802752842
671	1.80274985
672	1.802665977
673	1.802555781
674	1.802440056
675	1.802334618
676	1.802239367
677	1.802137648
678	1.802004836
679	1.802003993
680	1.801920342
681	1.801836385
682	1.801745939
683	1.801598176
684	1.801526368
685	1.801456478
686	1.801343924
687	1.801270278
688	1.801185769
689	1.801118871
690	1.80100524
691	1.800928429
692	1.800838863
693	1.800727841
694	1.800647264
695	1.80057393
696	1.800458424
697	1.800388756
698	1.80026674
699	1.800212705
700	1.800119486
701	1.800071026
702	1.799964942
703	1.799960071
704	1.79982832
705	1.799775545
706	1.799644224
707	1.79956863
708	1.79946393
709	1.799346284
710	1.799262778
711	1.799143731
712	1.799074148
713	1.798997489
714	1.79891253
715	1.798838145
716	1.798739582
717	1.798674897
718	1.798567623
719	1.798446966
720	1.798379176
721	1.798281833
722	1.798279283
723	1.798199202
724	1.798107874
725	1.798009132
726	1.797903562
727	1.797777934
728	1.797720223
729	1.79765319
730	1.797593718
731	1.797508651
732	1.797394219
733	1.79728878
734	1.797206905
735	1.797154302
736	1.797044955
737	1.79698645
738	1.796903213
739	1.796900746
740	1.796781831
741	1.796717898
742	1.796626138
743	1.796519586
744	1.796441109
745	1.79633969
746	1.796252794
747	1.796172749
748	1.796065867
749	1.795990687
750	1.795915701
751	1.795823809
752	1.795786151
753	1.795693579
754	1.79558514
755	1.795533164
756	1.795513875
757	1.795512887
758	1.795441225
759	1.795334059
760	1.795238937
761	1.795165079
762	1.795033982
763	1.794969741
764	1.794967646
765	1.794849346
766	1.794753729
767	1.794671593
768	1.794595657
769	1.794496333
770	1.794395253
771	1.794268932
772	1.794193603
773	1.794156091
774	1.794066551
775	1.793993496
776	1.793965013
777	1.793868349
778	1.793760588
779	1.79361841
780	1.79354744
781	1.793447536
782	1.793372856
783	1.793326353
784	1.793287596
785	1.793187614
786	1.793091639
787	1.792965293
788	1.792911524
789	1.792824175
790	1.792743364
791	1.792662716
792	1.792574611
793	1.792458893
794	1.792458013
795	1.792376152
796	1.79227263
797	1.792213861
798	1.792141892
799	1.792068687
800	1.791947928
801	1.79182075
802	1.791742582
803	1.791640295
804	1.79155605
805	1.791472617
806	1.791369695
807	1.791266991
808	1.791183975
809	1.791117329
810	1.791040924
811	1.79097489
812	1.790897602
813	1.790799934
814	1.790721386
815	1.790633126
816	1.790519034
817	1.790436688
818	1.790380179
819	1.790311872
820	1.79030487
821	1.7902701
822	1.79026885
823	1.790179924
824	1.790076481
825	1.789990917
826	1.789904394
827	1.789802817
828	1.78971791
829	1.789655578
830	1.789586275
831	1.789524208
832	1.789523521
833	1.789440105
834	1.789437993
835	1.789312682
836	1.789249089
837	1.789173441
838	1.789082538
839	1.788982291
840	1.788918787
841	1.78883862
842	1.788796456
843	1.78869725
844	1.788589286
845	1.78850237
846	1.788424329
847	1.788331312
848	1.788309606
849	1.788305524
850	1.788251764
851	1.788147346
852	1.788018183
853	1.788013162
854	1.787923358
855	1.787852144
856	1.787786784
857	1.787713923
858	1.78771164
859	1.78760317
860	1.787479456
861	1.787429232
862	1.787369877
863	1.787302742
864	1.787206594
865	1.787017542
866	1.786949467
867	1.786837318
868	1.786736287
869	1.78673468
870	1.786649231
871	1.786550224
872	1.786466225
873	1.78643921
874	1.786380739
875	1.786295967
876	1.786216717
877	1.78617662
878	1.786082415
879	1.785988202
880	1.78591231
881	1.785868324
882	1.785786027
883	1.78568073
884	1.785560831
885	1.785481005
886	1.785479483
887	1.785369012
888	1.785303487
889	1.78521312
890	1.785129838
891	1.78501906
892	1.784942872
893	1.784842177
894	1.784711918
895	1.784589543
896	1.78450444
897	1.784434447
898	1.784321506
899	1.78420986
900	1.784158224
901	1.784086478
902	1.784001357
903	1.783870157
904	1.783776895
905	1.783705959
906	1.783639482
907	1.783525621
908	1.783450034
909	1.783371604
910	1.783360848
911	1.783310606
912	1.783309805
913	1.783214707
914	1.783169143
915	1.783090348
916	1.782920188
917	1.782806572
918	1.782773215
919	1.782685368
920	1.78257377
921	1.782492095
922	1.782397819
923	1.78230477
924	1.782218836
925	1.782154466
926	1.782037686
927	1.781981307
928	1.781956397
929	1.78190738
930	1.781851308
931	1.781749184
932	1.781686321
933	1.781579854
934	1.781516955
935	1.781513397
936	1.781420973
937	1.781332111
938	1.781196415
939	1.781095408
940	1.781031508
941	1.780941542
942	1.780879219
943	1.780723033
944	1.780672039
945	1.780569997
946	1.780566085
947	1.780444456
948	1.780336396
949	1.780246497
950	1.780176526
951	1.78009771
952	1.780051522
953	1.779958659
954	1.779892135
955	1.779839328
956	1.779753182
957	1.779591409
958	1.779508645
959	1.779506936
960	1.779429851
961	1.779352348
962	1.779280875
963	1.779190594
964	1.779105691
965	1.779048277
966	1.778967124
967	1.778880397
968	1.778747625
969	1.778701207
970	1.778606859
971	1.778458633
972	1.778360697
973	1.778306093
974	1.778248594
975	1.778165064
976	1.778012411
977	1.777962845
978	1.777857427
979	1.77779319
980	1.77771494
981	1.777601953
982	1.777548783
983	1.777477033
984	1.777394963
985	1.777312978
986	1.777202086
987	1.77719882
988	1.777111612
989	1.777003479
990	1.776916544
991	1.776914692
992	1.7768219
993	1.776728417
994	1.776641543
995	1.776582902
996	1.776508892
997	1.776404569
998	1.776321592
999	1.77621763
