iter	Passed	Remaining
0	51	51053
1	75	37518
2	93	31196
3	115	28872
4	139	27661
5	159	26471
6	181	25762
7	214	26623
8	238	26262
9	258	25592
10	277	24959
11	294	24240
12	312	23742
13	329	23219
14	346	22751
15	362	22306
16	385	22306
17	427	23297
18	444	22960
19	460	22577
20	477	22247
21	493	21924
22	513	21810
23	537	21860
24	557	21755
25	581	21779
26	601	21671
27	634	22015
28	657	22025
29	687	22234
30	705	22066
31	723	21882
32	740	21698
33	766	21786
34	781	21552
35	796	21341
36	818	21295
37	835	21152
38	851	20978
39	867	20827
40	885	20709
41	912	20806
42	932	20742
43	949	20627
44	965	20499
45	981	20352
46	996	20201
47	1012	20072
48	1028	19953
49	1044	19849
50	1060	19732
51	1076	19626
52	1095	19569
53	1116	19560
54	1141	19615
55	1160	19560
56	1177	19480
57	1194	19394
58	1216	19406
59	1230	19277
60	1249	19231
61	1268	19186
62	1284	19099
63	1303	19056
64	1324	19057
65	1340	18971
66	1362	18976
67	1379	18906
68	1394	18813
69	1408	18708
70	1423	18630
71	1438	18541
72	1460	18542
73	1477	18491
74	1491	18391
75	1504	18296
76	1521	18235
77	1545	18274
78	1561	18206
79	1577	18144
80	1593	18082
81	1608	18007
82	1628	17993
83	1648	17978
84	1679	18081
85	1701	18078
86	1731	18170
87	1764	18281
88	1781	18235
89	1808	18283
90	1829	18273
91	1849	18257
92	1876	18304
93	1896	18278
94	1920	18294
95	1942	18294
96	1973	18374
97	2009	18498
98	2043	18602
99	2064	18578
100	2088	18590
101	2107	18554
102	2126	18518
103	2147	18497
104	2175	18544
105	2209	18631
106	2235	18660
107	2253	18615
108	2274	18588
109	2299	18603
110	2319	18572
111	2338	18540
112	2359	18524
113	2380	18499
114	2416	18596
115	2436	18565
116	2452	18506
117	2468	18451
118	2486	18407
119	2505	18375
120	2523	18329
121	2541	18291
122	2561	18262
123	2581	18233
124	2599	18193
125	2623	18198
126	2649	18215
127	2671	18198
128	2689	18158
129	2719	18202
130	2742	18195
131	2759	18146
132	2778	18111
133	2793	18054
134	2818	18061
135	2837	18025
136	2910	18331
137	2949	18421
138	2981	18465
139	2997	18410
140	3011	18346
141	3031	18316
142	3048	18268
143	3067	18233
144	3084	18190
145	3100	18138
146	3117	18088
147	3133	18040
148	3150	17994
149	3167	17951
150	3185	17909
151	3201	17860
152	3221	17831
153	3244	17824
154	3282	17897
155	3299	17849
156	3315	17802
157	3331	17751
158	3347	17704
159	3364	17663
160	3379	17612
161	3394	17559
162	3410	17513
163	3424	17457
164	3440	17409
165	3456	17366
166	3468	17298
167	3482	17246
168	3498	17204
169	3519	17185
170	3538	17155
171	3555	17115
172	3571	17070
173	3586	17024
174	3601	16980
175	3616	16930
176	3629	16878
177	3647	16842
178	3670	16833
179	3685	16790
180	3704	16764
181	3723	16734
182	3749	16740
183	3766	16702
184	3785	16678
185	3804	16650
186	3819	16603
187	3833	16559
188	3849	16519
189	3866	16484
190	3882	16443
191	3899	16411
192	3915	16373
193	3932	16339
194	3950	16306
195	3965	16267
196	3982	16231
197	3998	16195
198	4013	16155
199	4029	16116
200	4044	16076
201	4064	16056
202	4082	16029
203	4098	15992
204	4113	15951
205	4129	15918
206	4146	15886
207	4165	15860
208	4180	15822
209	4197	15792
210	4214	15759
211	4229	15721
212	4247	15692
213	4264	15664
214	4279	15624
215	4304	15624
216	4320	15588
217	4337	15557
218	4354	15527
219	4372	15503
220	4390	15476
221	4405	15440
222	4421	15405
223	4436	15369
224	4456	15349
225	4471	15312
226	4487	15280
227	4502	15246
228	4520	15218
229	4535	15184
230	4552	15156
231	4573	15140
232	4599	15142
233	4617	15115
234	4636	15093
235	4653	15066
236	4671	15038
237	4694	15029
238	4713	15007
239	4730	14981
240	4747	14951
241	4769	14940
242	4799	14952
243	4829	14964
244	4852	14954
245	4871	14930
246	4892	14915
247	4910	14889
248	4927	14861
249	4944	14832
250	4960	14801
251	4979	14779
252	5002	14770
253	5029	14772
254	5048	14750
255	5066	14724
256	5084	14700
257	5102	14675
258	5120	14650
259	5136	14620
260	5153	14590
261	5170	14563
262	5186	14534
263	5203	14505
264	5220	14480
265	5252	14494
266	5271	14472
267	5286	14440
268	5305	14417
269	5325	14397
270	5342	14371
271	5357	14338
272	5373	14310
273	5388	14278
274	5404	14247
275	5421	14221
276	5438	14194
277	5457	14173
278	5473	14145
279	5495	14130
280	5514	14110
281	5531	14083
282	5548	14057
283	5564	14027
284	5579	13997
285	5594	13966
286	5610	13937
287	5624	13906
288	5648	13897
289	5675	13894
290	5692	13869
291	5708	13840
292	5723	13809
293	5739	13783
294	5753	13750
295	5768	13719
296	5787	13698
297	5990	14112
298	6054	14195
299	6094	14221
300	6110	14189
301	6134	14177
302	6151	14150
303	6176	14140
304	6200	14129
305	6217	14101
306	6235	14076
307	6251	14044
308	6266	14014
309	6285	13991
310	6301	13960
311	6317	13929
312	6331	13897
313	6347	13866
314	6362	13834
315	6374	13798
316	6390	13769
317	6411	13750
318	6435	13737
319	6458	13723
320	6471	13689
321	6488	13662
322	6510	13646
323	6536	13637
324	6552	13609
325	6571	13585
326	6591	13566
327	6609	13541
328	6627	13516
329	6649	13500
330	6666	13473
