iter	Passed	Remaining
0	10	10730
1	19	9768
2	27	9286
3	38	9573
4	47	9420
5	56	9434
6	65	9265
7	73	9166
8	82	9079
9	91	9091
10	103	9261
11	112	9245
12	122	9314
13	132	9303
14	141	9295
15	151	9329
16	161	9342
17	171	9330
18	179	9270
19	188	9227
20	197	9211
21	207	9206
22	216	9184
23	225	9160
24	236	9211
25	245	9210
26	255	9216
27	265	9212
28	273	9170
29	283	9171
30	293	9165
31	302	9156
32	311	9136
33	320	9110
34	329	9093
35	339	9084
36	348	9074
37	356	9036
38	365	8999
39	374	8996
40	383	8966
41	392	8957
42	402	8949
43	411	8948
44	420	8917
45	430	8920
46	439	8912
47	448	8892
48	457	8886
49	467	8875
50	477	8882
51	486	8871
52	496	8878
53	507	8892
54	518	8904
55	529	8927
56	539	8922
57	548	8912
58	558	8904
59	567	8885
60	577	8887
61	586	8869
62	595	8850
63	604	8845
64	613	8821
65	622	8809
66	631	8792
67	640	8782
68	648	8755
69	657	8741
70	666	8715
71	675	8703
72	683	8684
73	693	8680
74	701	8656
75	710	8641
76	719	8627
77	729	8620
78	738	8613
79	748	8607
80	759	8613
81	767	8595
82	776	8583
83	785	8569
84	794	8553
85	803	8543
86	813	8534
87	823	8530
88	832	8525
89	842	8522
90	852	8514
91	860	8496
92	870	8489
93	879	8473
94	888	8463
95	898	8459
96	908	8461
97	918	8456
98	927	8443
99	937	8440
100	948	8438
101	957	8431
102	968	8431
103	976	8417
104	987	8416
105	996	8406
106	1007	8408
107	1018	8415
108	1028	8409
109	1038	8402
110	1048	8396
111	1057	8385
112	1066	8374
113	1076	8367
114	1086	8360
115	1096	8352
116	1120	8453
117	1135	8489
118	1149	8508
119	1165	8548
120	1179	8570
121	1196	8608
122	1208	8613
123	1220	8621
124	1231	8622
125	1242	8618
126	1261	8674
127	1272	8668
128	1281	8654
129	1292	8650
130	1301	8630
131	1310	8620
132	1320	8610
133	1330	8595
134	1339	8580
135	1348	8565
136	1357	8552
137	1366	8533
138	1375	8519
139	1383	8501
140	1393	8490
141	1403	8478
142	1412	8465
143	1421	8452
144	1431	8439
145	1440	8428
146	1449	8411
147	1459	8400
148	1467	8384
149	1477	8370
150	1485	8354
151	1494	8340
152	1504	8328
153	1512	8310
154	1523	8303
155	1531	8287
156	1542	8280
157	1552	8275
158	1561	8258
159	1571	8248
160	1580	8234
161	1589	8221
162	1598	8209
163	1607	8196
164	1616	8182
165	1626	8170
166	1635	8158
167	1644	8142
168	1654	8133
169	1662	8117
170	1672	8107
171	1681	8094
172	1690	8080
173	1699	8066
174	1707	8051
175	1717	8040
176	1726	8025
177	1736	8016
178	1744	8003
179	1754	7993
180	1764	7983
181	1772	7968
182	1782	7959
183	1791	7943
184	1800	7934
185	1809	7918
186	1818	7907
187	1828	7896
188	1837	7882
189	1846	7869
190	1854	7854
191	1863	7842
192	1872	7827
193	1882	7819
194	1890	7802
195	1899	7792
196	1908	7781
197	1917	7767
198	1927	7758
199	1936	7745
200	1946	7738
201	1955	7725
202	1965	7717
203	1975	7707
204	1984	7697
205	1994	7685
206	2003	7673
207	2012	7663
208	2021	7649
209	2031	7641
210	2040	7628
211	2048	7615
212	2058	7605
213	2066	7590
214	2074	7574
215	2082	7559
216	2092	7548
217	2100	7534
218	2109	7521
219	2117	7508
220	2126	7496
221	2135	7483
222	2145	7474
223	2153	7461
224	2162	7448
225	2171	7435
226	2179	7422
227	2188	7411
228	2197	7400
229	2206	7388
230	2215	7373
231	2224	7364
232	2232	7350
233	2242	7340
234	2250	7327
235	2260	7319
236	2270	7309
237	2278	7295
238	2288	7285
239	2296	7272
240	2305	7262
241	2314	7250
242	2325	7244
243	2334	7232
244	2342	7219
245	2352	7210
246	2361	7198
247	2370	7188
248	2380	7179
249	2390	7170
250	2399	7159
251	2408	7148
252	2417	7137
253	2426	7125
254	2435	7115
255	2443	7100
256	2452	7090
257	2461	7078
258	2471	7069
259	2479	7058
260	2488	7047
261	2498	7037
262	2507	7026
263	2516	7015
264	2525	7003
265	2534	6993
266	2542	6980
267	2552	6971
268	2561	6959
269	2570	6948
270	2578	6937
271	2587	6925
272	2596	6914
273	2604	6902
274	2614	6892
275	2623	6882
276	2633	6873
277	2641	6861
278	2650	6849
279	2658	6836
280	2668	6826
281	2676	6815
282	2684	6802
283	2693	6790
284	2701	6777
285	2712	6771
286	2721	6760
287	2730	6751
288	2739	6739
289	2748	6729
290	2757	6718
291	2767	6710
292	2776	6698
293	2784	6687
294	2793	6675
295	2802	6664
296	2811	6654
297	2819	6641
298	2828	6631
299	2836	6619
300	2845	6608
301	2856	6601
302	2867	6595
303	2878	6590
304	2889	6583
305	2899	6575
306	2909	6567
307	2919	6560
308	2930	6553
309	2939	6542
310	2949	6535
311	2959	6526
312	2968	6514
313	2977	6504
314	2986	6493
315	2994	6482
316	3003	6470
317	3011	6459
318	3021	6449
319	3029	6437
320	3038	6427
321	3046	6415
322	3056	6405
323	3064	6393
324	3073	6384
325	3082	6372
326	3091	6362
327	3099	6350
328	3108	6340
329	3118	6331
330	3126	6319
331	3135	6308
332	3143	6297
333	3152	6286
334	3160	6273
335	3169	6264
336	3178	6252
337	3187	6243
338	3196	6231
339	3205	6223
340	3214	6211
341	3222	6200
342	3231	6189
343	3239	6177
344	3248	6166
345	3256	6155
346	3265	6144
347	3273	6132
348	3281	6121
349	3290	6110
350	3299	6100
351	3307	6089
